🥴	af qallocan, caajis, caara, daroogeysan, indho isla sinneyn, waji aan dagneyn
😵	waji, waji wareersan, wareer
😵‍💫	dawakhsan, dhibaato, waji indho wareegsan leh, wareeg, wareer, wareersan
🤯	madax qarxa, yaabay
🤠	koofi, koofigabadh, koofiwiil, waji, waji koofid leh
🥳	dabaaldeg, gees, koofi, waji farxadeysan, xaflad
🥸	isqarin, muraayadaha indhaha, qarsoon, sanka, waji badalan, waji qarsoon, wajiga
😎	dhalaal, dhoola cadeyn, ookiyaale, qabow, qorrax, waji, waji dhoola cadeynaya ookiyaala wato
🤓	aan muuqan, waji, waji xirfad la’aan, xirfad la’aan
🧐	cabsi, waji hal ookiyaalo leh
😕	amkaag, jah wareersan, waji, waji jah wareersan
🫤	aan danaynayn, hubin, ku wajah af dadban, niyad jabsan, shaki badan
😟	waji, waji walaacsan, walaacsan
🙁	macbuus, waji, waji yara macbuusan
☹️	macbuus, waji, waji macbuus, waji macbuusan
😮	af, furan, naxariis, waji, waji af furan leh
😯	la yaabay, nadiif ah, waji, waji iftiimaayo
😲	amkaag, guud ahaan, la yaab, waji, waji amakaagsan
😳	gariir, jeexay, waji, waji xishood leh
🥺	baryid, indho ilmeeynaayo, naxariis, waji doodaayo, waji doodsan
🥹	hanweyn, iska caabin, murugsan, oohin, wajah adoo oohinta celinaya, xanaaqsan
😦	afka, fur, macbuus, waji, waji macbuus af furan leh
😧	waji, waji xanaaqsan, xanaaq
😨	cabsanaayo, cabsi, cabsi leh, waji, waji cabsi leh
😰	baluug, dedegid, dhidid, qabow, waji, waji walaacsan oo dhidid leh
😥	dabacsan, markaa, niyadjabsan, waji, waji xanaaqsan laakiin dabacsan
😢	jeexid, murugo, oohin, waji, waji ooynaayo
😭	jeexid, murugo, oohin, waji, waji zaaid u ooynaayo
😱	cabsaday, cabsi, foorid, qeeylo, waji, waji cabsi darteed u qeylinaayo, waji cabsi la qeylinaayo
😖	aad u baqday, waji, waji shakisan
😣	dulqaad, waji, waji dulqaad leh
😞	niyad jab, waji, waji niyadjabsan
😓	dhidid, qabow, waji, waji hoos u dhacsan oo dhididsan
😩	daal, daalan, waji, waji daal ka muuqdo
😫	daal, waji, waji daalan
🥱	cajisan, daallan, hammaansasho, waji hammaansanaya
😤	guul, guuleysi, waji, waji sanka qiiqaayo
😡	caro, gaduud, waali, waji, waji xanaaq leh, xanaaq
😠	waali, waji, waji careysan, xanaaq
🤬	dhaaranaaya, waji afka calaamada ku leh
😈	dhoolo cadeyn, geeso, khayaali, sheeko been ah, waji, waji dhool cadeynaayo geeso leh, waji dhoolo cadeynaayo geeso leh
👿	jinni, khayaali, shayddaan, waji, waji xanaaqsan geeso leh
💀	dhimasho, laf madaxa, sheeko been ah, waji, xayawaan
☠️	dhimasho, iskutallabta, laf madaxa, laf madaxa iyo iskutallabta, shayddaan, waji
💩	dhabcaan, raso saxaro ah, riix, saxaro, shayddaan, waji
🤡	shactiro, waji, waji qosol leh
👹	dad cun, khayaali, noole, shayddaan, sheeko been, waji
👺	khayaali, noole, noole foolxun, shayddaan, sheeko been, waji
👻	khayaali, noole, reer-aakhiraad, shayddaan, sheeko been, waji
👽️	dahsoon, ka baxsan, khayaali, noole, shisheeye, waji
👾	dahsoon, ka baxsan, noole, shayddaan, shayddaan shisheeye ah, shisheeye, waji
🤖	mashiin, shaddaan, waji
😺	af, bisad, bisad ba’an, dhoolo cadeyn, fur, gariir, waji
😸	bisad, bisad gariireyso indha dhoolo cadeyneysa, dhoolo cadeyn, gariir, il, waji
😹	bisad, bisad illin faraxded leh, face, farxad, jeexid
😻	bisad, bisad dhoolo cadeyneysa qalbi leh, dhoolo cadeyn, il, jaceyl, wadno, waji
😼	bisad, bisad kaftan dhoolo cadeyn leh, dhoolo cadeyn, kaftan, kajan, waji
😽	bisad, bisad shuminayso, il, shumis, waji
🙀	baqdin, bisad, bisad baqdin leh, la yaab, waji
😿	bisad, bisad ooyneeysa, ilin, murugo, oohin, waji
😾	bisad, bisad xanaaqsan, waji, xanaaqsan
🙈	aan arkeyn daanyeer xun, aan-arkeyn-daanyeer xun, aragti, daanyeer, la mamnucay, waji, xumaan
🙉	aan-maqaleyn-daanyeer xun, aan-maqleynin-daanyeer xun, la mamnuucay, maqal, waji, xumaan
🙊	aan la hadleynin daanyeer xun, aan-la-hadleynin daanyeer xun, daanyeer, hadal, la mamnuucay, waji, xumaan
💋	bishimo, calaamadda dhunkashada, dhunkasho
💌	boosto, jaceyl, wadno, warqad, warqad jaceyl
💘	calaamad qof qaawan, fallaar, wadno leh fallaar
💝	maalinta Valentine, wadno lagu xiray maro, wadno mara lagu xiray, xabo
💖	dhalaal, farxad, wadno dhalaalaayo
💗	farxad, garaaca wadnaha, kobcis, naxsan, wadno kobcayo, wadno kubcayo
💓	garaacis, jahwareer, wadno garaac, wadno garaacaayo
💞	wadno warwareegaayo, wareeg
💕	jaceyl, laba wadno, labo wadno
💟	qurxinta wadnaha, wadno
❣️	amkaag, astaameyn, calaamad, calaamad ujeedka wadnaha, claamad ujeedka wadnaha
💔	jabay, jabis, wadno jaban
❤‍🔥	gubasho, jacayl, lahasho, wadne, wadne ololaya, wadne xurmaysan
❤‍🩹	caafimad qaba, fiican, karan, soo boqsanaya, soo kabanaya, wadne dhaawacan
❤️	wadno, wadno cas
🧡	oranji, wadno oranji ah
💛	jaalle, wadno jaalle ah
💚	cagaar, wadno cagaaran
💙	buluug, wadno buluug ah
💜	buluug-guduud, wadno midab buluug-guuud ah, wadno midab-buluug-guddud ah
🤎	bunni, wadne, wadne bunni ah
🖤	madoow, wadno madoow, xumaan, xun
🤍	cad, wadne, wadne cad (cabsi og)
💯	boqol, boqol dhibco, boqol dhico, buuxo, dhibcaha
💢	calaadda xanaaqa, calaamadda xanaaqa, majaajileeye, xanaaq
💥	calaamadda qaraxa, isku dhac, isku dhicis, majaajilleeye
💫	majaajileeye, wareer, xiddig
💦	dhibco dhidid, dhibco dhidid ah, dhidid, majaajileeye, sayrin
💨	majaajileeye, ordaayo, tagaayo, tagid
🕳️	god
💣️	bam, majaajileeye
💬	balluun, balluun hadal, hadal, majaajileeye, wada hadal, xumbo
👁‍🗨	il, il xumbo hadal ku leh, marqaati, xumbo hadal
🗨️	wada hadal, xumbo hadal bidix
🗯️	baaluun, waali, xanaaq, xanaaqa xumbo midig, xumbo
💭	baalluunta fakarka, baaxumbo, fakarka, lbaaluun, majaajileeye
💤	hurdo, majaajileeye, zzz calaamadda hurdada, zzz- calaamadda hurdada
👋	gacan, gacan haadin, haadi, haadinayaa
🤚	gacanta gadaal, kor u qaaday gacanta gadaal, kor u qaadid
🖐️	far, gacan, gacan iyo faraha ayaa lagu fidiyay
✋	gacan, gacan kor loo qaaday, gacan kor loo qaday
🖖	fara salaan, gacan, isku-dhaf, salaan sharaf, sharaf
🫱	Gacanta, Midig, dhinaca gacanta midig, dhinaca midig
🫲	bidix, dhinaca bidix, dhinaca gacanta bidix, gacan
🫳	baabacada gacanta hoose, iska daa, iska dhaaaf, tuur
🫴	Baabacada kore, imaw, q abo, sii, tusaalee
👌	gacan, gacanta saxda ah, sax
🤌	faraha, faro la isku wada duubay, jees jees ah, qanjaruufo, su’aalo weydiin, tilmaanta gacanta
🤏	qaddar yar, qanjaruufo
✌️	gacanta, gacanta guusha, guusha, v
🤞	Alla bari, faraha gudban, faraha gudban; Alla bari, faraha isdhaafay, farta, gacanta, iskutallaab, nasiib
🫰	dhaqso, gacanta farta caarada iyo suulka la dhaafay, jacayl, lacag, qaali, qalbi
🤟	WKJ, gacan, meedaarta waan ku jecelahay, meedaarta waan ku jecelahay ah
🤘	calaamadda geesaha, far, gacan, geesaha, qirid
🤙	gacan, gacanta ah isoo wac, isoo wac, wac
👈️	Gacan tilmaamaysa bidix, dhibic, farta, gacanta, gadaal, tilmaame gadaal u jeeda bidix, tusmada
👉️	dhibic, farta, gacan tilmaamaysa midig, gacanta, gacanta gadaal, tusaha gadaal u jeeda oo tilmaamaya midig, tusmada
👆️	dhibic, farta, gacan tilmaamaysa kor, gacanta, gadaal gacanta, kor, tilmaame gadaal u jeeda oo tilmaamaya
🖕	far, farta dhexe, gacan
👇️	dhibic, farta, gacan tilmaamaysa hoos, gacanta, gadaal gacanta, hoos, tilmaame gadaal u jeeda hoos u tilmaamaya
☝️	far, farta muujinta tilmaamaysa kor, gacan, kor, muujinta, muujinta tilmaamaysa kor, tilmaam
🫵	adiga, tilmaam, tusmo tilmaame daawadaha
👍️	+1, gacan, kor, suul, suulka kor
👎️	-1, gacan, hoos, suul, suulka hoos
✊	feer tuur, gacan, kor u qaadid tantoonyo, kor u qaadid tantoonyo (feer), tantoonyo, xannibay
👊	feer soo socoto, feer tuuris, gacan, tantoonyo, tantoonyo soo socota, xanniban
🤛	dhanka bidix, feerka, feerka tilmaamaya bidix, feerka tilmaamaysa bidix
🤜	dhanka midig, feerka, feerka tilmaamaya midig
👏	gacan, sacab, sacabinta gacmaha
🙌	baraawo, dabbaaldeg, gacan, gacmo kor u taagid, kor u taagid, meedaar
🫶	gacanta qalbiga, jacayl
👐	furan, gacan, gacmo furan
🤲	calaacalaha si wadajir ah kor loo taaggo, calaacalaha si wadajir ah kor loogu taaggo, duco
🤝	gacan, gacan-qaadka salaanta, heshiiska, kulan, salan
🙏	duco, fadlan, gacan, gacmo laaban, mahadsanid, weydiin
✍️	gacan, gacan wax qoraysa, qor
💅	ciddi, daryeel, dhalaalinta, dhalaalinta ciddiyaha, qurxinta, qurxinta ciddiyaha
🤳	kamarad, sawir iska-qaadis, taleefoon
💪	kalagoyska suxulka, kalagoyska suxulka laaban, laab, majaajilada, muruq, suxulka oo laaban
🦾	awood leh, gacan mashiin ah, lug bir galis ah
🦿	la heli karo, lug bir galis ah, lug mashiin ah
🦵	addinka, laad, lug
🦶	cagta, laad, tallaabo xooggan
👂️	dhagta, jirka
🦻	dhag leh gargaarka maqalka, la heli karo, maqalka adag
👃	jirka, sanka
🧠	caqli badan, maskax, maskaxda
🫀	cilmiga wadnaha, garaaca, garaaca wadnaha, qaab dhismeedka, wadnaha, xubin
🫁	neef qaadasho, neef turiitaanka, neefsasho, sambabka, sambabo, xubin
🦷	dhakhtarka ilkaha, ilig
🦴	laf, qalfoof
👀	il, indhaha, waji
👁️	il, jir
👅	carab, jir
👄	af, bishimo
🫦	cabsi, faruurta qaniinaya, raaxo la’aan, walaacsan, walwalsan, xodxodasho
👶	cunug, yar
🧒	dhexdhexaadnimada jinsiga, ilmo, jinsiga aan la sheegin, yar
👦	wiil, yar
👧	gabar, waalidka, yar, zodiac
🧑	dhexdhexaadnimada jinsiga, jinsiga aan la sheegin, qof, qof weyn
👱	qof timo cad leh, qof: timo cad, timo, timo cad
👨	nin, ninka, qof weyn
🧔	gar, nin, nin: gar, qof
🧔‍♂	gadh, nin, nin: gadh
👱‍♂	nin, nin timo cad, nin: timo cad, timo, timo cad
👩	naag, qof weyn
🧔‍♀	gabadh, gabadh: gadh, gadh
👱‍♀	naag, naag timo cad, naag: timo cad, timo, timo cad
🧓	dhexdehexaadnimada jinsiga, jansiga aan la sheegin, qof weyn, weyn
👴	nin, nin da’ weyn, qof weyn, weyn
👵	da’ weyn, naag, naag weyn, qof weyn
🙍	qof wajiga kaduudaya, waji kaduudid
🙍‍♂	meedaar, nin, nin wajiga kaduudaya, waji kaduudidda
🙍‍♀	meedaar, naag, naag wajiga kaduudaya, waji kaduudidda
🙎	bushin qaniinidda, meedaar, qof bushinta qaniinaya
🙎‍♂	bushin qaniinidda, meedaar, nin, nin bushinta qaniinaya
🙎‍♀	bushin qaniinidda, meedaar, naag, naag bushinta qaniinaysa
🙅	gacan, mamnuuc, meedaar, qof ku meedaaraya MAYA, reebban
